patch_id,label,center_lon,center_lat,county_geoid,positive_pixels,area_m2,mean_confidence,max_confidence,bbox_width_m,bbox_height_m,voltage,substation_type,substation_name,operator,osm_id,geom_source,source,split
patch_0334389_1120582,positive,-112.05740683836301,33.4387983098272,4013,16821,6055.560000000459,0.6100847125053406,0.78466796875,145.80000000000553,76.80000000000291,,detected,,,-1,model,local_inference,prediction
patch_0334389_1120483,positive,-112.04915159564672,33.43854644529345,4013,5965,2147.400000000163,0.8053544759750366,0.94677734375,48.00000000000182,49.80000000000189,,detected,,,-1,model,local_inference,prediction
patch_0334334_1120450,positive,-112.0441449504007,33.43279570135571,4013,4742,1707.1200000001295,0.6015023589134216,0.73876953125,88.80000000000337,61.20000000000232,,detected,,,-1,model,local_inference,prediction
patch_0334336_1120251,positive,-112.02563113349879,33.43471434590314,4013,765,275.4000000000209,0.5403996706008911,0.5869140625,28.80000000000109,18.000000000000682,,detected,,,-1,model,local_inference,prediction
patch_0334253_1120184,positive,-112.01813206556665,33.425944548853266,4013,15134,5448.240000000413,0.5830968618392944,0.75439453125,66.0000000000025,147.6000000000056,,detected,,,-1,model,local_inference,prediction
patch_0334226_1120184,positive,-112.01780783491495,33.42277064838838,4013,3097,1114.9200000000844,0.6721364259719849,0.9287109375,49.80000000000189,32.40000000000123,,detected,,,-1,model,local_inference,prediction
patch_0334144_1120051,positive,-112.00608289942899,33.41418350417661,4013,9575,3447.000000000261,0.9360616207122803,1.0,68.40000000000259,59.40000000000225,,detected,,,-1,model,local_inference,prediction
patch_0334087_1120215,positive,-112.02044818650545,33.40933107993443,4013,15610,5619.600000000426,0.7504307627677917,0.90234375,93.60000000000355,69.00000000000261,,detected,,,-1,model,local_inference,prediction
patch_0334057_1120512,positive,-112.04992007395562,33.405340393374104,4013,11742,4227.120000000321,0.8025029897689819,0.98828125,61.20000000000232,73.8000000000028,,detected,,,-1,model,local_inference,prediction
patch_0333948_1120214,positive,-112.02204869488939,33.39447947558705,4013,1034,372.2400000000282,0.6420935988426208,0.7841796875,27.600000000001046,21.000000000000796,,detected,,,-1,model,local_inference,prediction
patch_0333920_1120279,positive,-112.02701563980948,33.391686698074835,4013,771,277.56000000002103,0.5566520094871521,0.69775390625,24.00000000000091,31.200000000001182,,detected,,,-1,model,local_inference,prediction
